id,title,sub_title,science_name,plant_family,plant_function,dosage_usage,image_url
1,BẠC HÀ,"Bạc hà nam, nạt nặm, chạ phiéc hom (Tày)",Mentha arvensis L.,Bạc hà (Lamiaceae),"Sơ phong, thanh nhiệt, thấu chẩn, sơ can, giải uất, giải độc. Chữa cảm mạo phong nhiệt, cảm cúm, ngạt mũi, nhức đầu, đau mắt đỏ, thúc đẩy sởi mọc, ngực sườn đầy tức.","Ngày dùng 12 - 20g, hãm vào nước sôi 200 ml, cách 3 giờ uống một lần.",https://yte123.com/wp-content/uploads/2018/07/cay-bac-ha.jpg
2,BÁCH BỘ,"Củ ba mươi, dây đẹt ác, hơ linh (Ba Na)",Stemona tuberosa Lour.,Bách bộ (Stemonaceae),"Nhuận phế, chỉ ho, sát trùng. Chữa các chứng ho mới hoặc ho lâu ngày, viêm phế quản mạn tính, trị giun kim, ngứa, ghẻ lở.","Ngày dùng 8 - 12g, sắc uống, thụt hậu môn điều trị giun kim, dùng",https://yte123.com/wp-content/uploads/2018/07/cay-bach-bo.jpg
3,BẠCH ĐỒNG NỮ,"Mò trắng, Mò mâm xôi, Bấn trắng",Clerodendrum chinense (Osbeck.) Mabb var. simplex (Mold.) S. L. Chen,Cỏ roi ngựa (Verbenaceae),"Thanh nhiệt, giải độc, khu phong trừ thấp, tiêu viêm. Rễ cây chữa gân xương đau nhức, mỏi lưng, mỏi gối, kinh nguyệt không đều, viêm túi mật, vàng da, vàng mắt. Dùng ngoài ngâm rửa trĩ, lòi dom. Lá cây chữa tăng huyết áp, khí hư bạch đới, Lá dùng ngoài trị vết thương, tắm ghẻ, chốc đầu. Hoa dùng trị ngứa.","Rễ ngày dùng 12 - 16g, sắc uống. Dùng 1 kg cành lá, rửa sạch, đun sôi với nước 30 phút, lọc lấy nước, nhỏ giọt liên tục lên vết thương hoặc ngâm vết thương ngày 2 lần, mỗi lần 1 giờ.",https://yte123.com/wp-content/uploads/2018/07/18-0-1414381572407.jpg
4,BẠCH HOA XÀ THIỆT THẢO,Cỏ lưỡi rắn hoa trắng,Hedyotis diffusa Willd.,Cà phê (Rubiaceae),"Thanh nhiệt giải độc, lợi niệu thông lâm, tiêu ung tán kết. Chữa phế nhiệt, hen suyễn, viêm họng, viêm Amydal, viêm đường tiết niệu, viêm đại tràng (trường ung). Dùng ngoài chữa vết thương, rắn cắn, côn trùng đốt.","Ngày dùng 15 - 60g (khô) sắc uống. Dùng ngoài, giã nát đắp tại chỗ.",https://yte123.com/wp-content/uploads/2018/07/B%E1%BA%A1ch-hoa-x%C3%A0-thi%E1%BB%87t-th%E1%BA%A3o.jpg
5,BÁN HẠ NAM,"Cây chóc, chóc chuột, nam tinh, bán hạ ba thùy",Typhonium trilobatum (L.) Schott.,Ráy (Araceae).,"Hóa đàm táo thấp, giáng nghịch chỉ nôn, giáng khí chỉ ho. Chữa nôn, buồn nôn, đầy trướng bụng, ho có đờm, ho lâu ngày. Dùng ngoài chữa ong đốt, rắn rết cắn.","Ngày dùng 3 - 10g, sắc uống. Thường phối hợp với các vị thuốc khác.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-b%C3%A1n-h%E1%BA%A1-nam.jpg
6,BỐ CHÍNH SÂM,"Nhân sâm Phú yên, Thổ hào sâm",Abelmoschus moschatus Medik. ssp. tuberosus (Span) Borss.,Bông (Malvaceae).,"Bổ khí, ích huyết, sinh tân dịch, chỉ khát (giảm ho), trừ đờm. Chữa cơ thể suy nhược, kém ăn, kém ngủ, thần kinh suy nhược, hoa mắt chóng mặt, đau dạ dầy, tiêu chảy, ho viêm họng, viêm phế quản, người háo khát, táo bón.","Ngày dùng 10 - 12g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-b%E1%BB%91-ch%C3%ADnh-s%C3%A2m.jpg
7,BỒ CÔNG ANH,"Diếp dại, diếp trời, rau bồ cóc, rau mét, cây mũi mác",Lactuca indica L.,Cúc (Asteraceae),"Thanh nhiệt giải độc, tiêu viêm tán kết. Chữa mụn nhọt sang lở, tắc tia sữa, viêm tuyến vú, nhiễm trùng đường tiết niệu.","Ngày dùng 8 - 30 g (khô), 20 - 40g (cây tươi), ép lấy nước uống hoặc sắc uống. Đắp ngoài trị mụn nhọt, sưng vú, tắc tia sữa.",https://yte123.com/wp-content/uploads/2018/07/b%E1%BB%93-c%C3%B4ng-anh1.jpg
8,CÀ GAI LEO,"Cà vạnh, Cà cườm, Cà quánh, Cà quýnh.",Solanum procumbens Lour.,Cà (Solanaceae).,"Tán phong trừ thấp, tiêu độc, giảm đau. Chữa đau nhức gân xương, ho, ho gà, xơ gan, rắn cắn.","Ngày 16 - 20g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-c%C3%A0-gai-leo.png
9,CAM THẢO ĐẤT,"Cam thảo nam, thổ cam thảo, dã cam thảo, r’gờm, t’rôm lạy (K’Ho)",Scoparia dulcis L.,Hoa mõm chó (Scrophulariaceae),"Bổ tỳ, sinh tân, nhuận phế, thanh nhiệt, giải độc, lợi niệu. Chữa sốt, ho, viêm họng, ban chẩn, phế nhiệt gây ho, rong kinh, đái tháo đường.","Ngày dùng 16 - 20g (dạng khô); 20 - 40g (cây tươi), sắc hoặc hãm uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-cam-th%E1%BA%A3o-%C4%91%E1%BA%A5t.jpg
10,CỎ MẦN TRẦU,"Cỏ chỉ tía, thanh tâm thảo, cao dag (Ba Na), hất t’rớ lạy (K’Ho)",Eleusine indica (L.) Geartn.,Lúa (Poaceae),"Lương huyết, thanh nhiệt, hạ sốt, giải độc, làm mát gan, làm ra mồ hôi, lợi tiểu. Chữa cảm nắng, sốt nóng, cao huyết áp, viêm gan hoàng đảm, dị ứng mẩn ngứa, đái khó, nước tiểu đỏ.","Ngày dùng 12 - 16g (khô), 80 - 120g (cây tươi), đun sôi trong 15-20 phút, để nguội chắt lấy nước uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-c%E1%BB%8F-m%E1%BA%A7n-tr%E1%BA%A7u.jpg
11,CỎ NHỌ NỒI,"Cỏ mực, Hạn liên thảo, lệ trường, phong trường, mạy mỏ lắc nà (Tày), nhả cha chát (Thái)",Eclipta prostrata (L.) L.,Cúc (Asteraceae),"Lương huyết, chỉ huyết, bổ can thận, chữa các chứng huyết nhiệt, ho ra máu, nôn ra máu, đại tiện ra máu, tiểu tiện ra máu, chảy máu cam, chảy máu dưới da, băng huyết, rong huyết, râu tóc sớm bạc, răng lợi sưng đau.","Ngày dùng 12 - 20g (khô), sắc uống; 30 - 50g (tươi), giã vắt lấy nước uống, bã đắp vết thương. Có thể dùng phối hợp với các cây thuốc khác chữa chứng xuất huyết.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-c%E1%BB%8F-nh%E1%BB%8D-n%E1%BB%93i.jpg
12,CỎ SỮA LÁ NHỎ,"Vú sữa đất, thiên căn thảo, cẩm địa",Euphorbia thymifolia L.,Thầu dầu (Euphorbiaceae),"Cầm máu, giảm đau, tiêu độc, chỉ lỵ, thông sữa, lợi tiểu. Chữa lỵ trực khuẩn và lỵ amip nhất là cho trẻ em, chữa mụn nhọt, phụ nữ băng huyết, phụ nữ sau đẻ ít sữa hoặc tắc tia sữa."," Người lớn: ngày dùng 40 - 100g; trẻ em: ngày dùng 10 - 20g, sắc uống, dùng 5 -7 ngày.",https://yte123.com/wp-content/uploads/2018/07/c%E1%BB%8F-s%E1%BB%AFa-l%C3%A1-nh%E1%BB%8F.jpg
13,CỎ TRANH,"Cỏ tranh răng, bạch mao căn, dia (K’Dong), nhất địa (Gia Rai)",Imperata cylindrica (L.) Beauv.,Lúa (Poaceae),Lúa (Poaceae),"Ngày dùng 9 - 30g (khô), 30 - 60g (tươi) thái nhỏ, sắc với 600 ml nước đến khi còn 200 ml chia 2 - 3 lần uống trong ngày.",https://yte123.com/wp-content/uploads/2018/07/c%E1%BB%8F-tranh.jpg
14,CỎ XƯỚC,Hoài ngưu tất.,Achyranthes aspera L.,Achyranthes aspera L.,"Hoạt huyết, khứ ứ, bổ can thận mạnh gân xương, lợi thủy thông lâm. Chữa đau nhức xương khớp, đau lưng, mỏi gối, chân tay co quắp, tê bại, kinh nguyệt không đều, tiểu tiện không thông, đái buốt, đái rắt.","Ngày dùng 6 - 15g; 12 - 40g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-c%E1%BB%8F-x%C6%B0%E1%BB%9Bc.jpg
15,CỐI XAY,"Giàng xay, quýnh ma, ma bản thảo, kim hoa thảo",Abutilon indicum (L.) Sweet,Bông (Malvaceae),"Giải biểu nhiệt, hoạt huyết, tiêu thũng. Chữa cảm sốt do phong nhiệt, đau đầu, tai ù, tai điếc, sốt vàng da, bí tiểu tiện, phù thũng, lở ngứa, dị ứng.","Ngày dùng 8 - 12g (dạng khô), 20 - 40g (cây tươi), sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-c%E1%BB%91i-xay.jpg
16,CỐT KHÍ, Cốt khí củ,Reynoutria japonica Houtt.,Rau răm (Polygonaceae).,"Khu phong trừ thấp, hoạt huyết, thông kinh, chỉ khái (giảm ho), hóa đờm, chỉ thống. Chữa đau nhức gân xương, ngã sưng đau ứ huyết, bế kinh, hoàng đản, ho nhiều đờm, mụn nhọt lở loét.","Ngày dùng 9 - 15g, sắc uống, dùng ngoài sắc lấy nước để bôi, rửa, hoặc chế thành cao, bôi.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-c%E1%BB%91t-kh%C3%AD.jpg
17,CÚC HOA,"Kim cúc, hoàng cúc, dã cúc, cam cúc",Chrysanthemum indicum L.,Cúc (Asteraceae),"Phát tán phong nhiệt, giải độc, minh mục. Chữa các chứng đau đầu hoa mắt, chóng mặt, đau mắt đỏ, chảy nhiều nước mắt, mờ mắt, huyết áp cao, mụn nhọt, đinh độc.","Ngày dùng 8 - 16g (dạng khô), sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-c%C3%BAc-hoa.jpg
18,CÚC TẦN,"Cây lức, từ bi, phật phà (Tày)",Pluchea indica (L.) Less.,Cúc (Asteraceae).,"Phát tán phong nhiệt, tiêu độc, lợi tiểu, tiêu đàm. Chữa cảm mạo phong nhiệt, sốt không ra mồ hôi, phong thấp, tê bại, đau nhức xương khớp.","Ngày dùng 8 - 16g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-c%C3%BAc-t%E1%BA%A7n-e1532267742278.jpg
19,DÀNH DÀNH,Chi tử,Gardenia jasminoides J. Ellis,Cà phê (Rubiaceae).,"Thanh nhiệt trừ phiền, lợi tiểu, lương huyết, chỉ huyết. Chữa sốt cao, người bồn chồn khó ngủ, vàng da, tiểu tiện khó, tiểu tiện ra máu, chảy máu cam. Nôn ra máu, dùng ngoài trị sưng đau do sang chấn.","Ngày dùng 6 - 12g, sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-d%C3%A0nh-d%C3%A0nh.jpg
20,DÂU TẰM,"Dâu ta, tang",Morus alba L.,Dâu tằm (Moraceae),"Vỏ rễ dâu có tác dụng thanh phế nhiệt bình suyễn, tiêu thũng, giảm ho, trừ đờm, hạ suyễn. Chữa phế nhiệt, ho suyễn, hen, ho ra máu, trẻ con ho gà, phù thũng, bụng trướng to, tiểu tiện không thông; Lá dâu có tác dụng tán phong thanh nhiệt, thanh can, sáng mắt. Chữa cảm mạo phong nhiệt, phế nhiệt, ho, viêm họng, nhức đầu, mắt đỏ, chảy nước mắt, đậu lào, phát ban, cao huyết áp, mất ngủ; Cành dâu có tác dụng trừ phong thấp, lợi các khớp, thông kinh hoạt lạc, tiêu viêm. Chữa phong thấp đau nhức các đầu xương, cước khí, sưng lở, chân tay co quắp.","Vỏ rễ: ngày dùng 6 - 12g (có thể dùng tới 20 - 40g), sắc uống. Lá: ngày dùng 5 - 12g, sắc uống. Cành: ngày dùng: 9 - 15g (có thể dùng tới 40 - 60g), sắc uống.",https://yte123.com/wp-content/uploads/2018/07/c%C3%A2y-d%C3%A2u-t%E1%BA%B1m.jpg
